[2025-05-19T15:17:19.371+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:19.372+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 56
[2025-05-19T15:17:19.887+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:19.887+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 57
[2025-05-19T15:17:20.377+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:20.377+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 58
[2025-05-19T15:17:20.910+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:20.910+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 59
[2025-05-19T15:17:21.423+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:21.423+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 60
[2025-05-19T15:17:21.912+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:21.913+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 61
[2025-05-19T15:17:22.374+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:22.375+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 62
[2025-05-19T15:17:22.847+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:22.848+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 63
[2025-05-19T15:17:23.369+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:23.369+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 64
[2025-05-19T15:17:23.371+0000] {python.py:177} INFO - Done. Returned value was: None
[2025-05-19T15:17:23.384+0000] {taskinstance.py:1322} INFO - Marking task as SUCCESS. dag_id=math_crawler_pipeline, task_id=save_to_bigquery, execution_date=20250519T144924, start_date=20250519T151651, end_date=20250519T151723
[2025-05-19T15:17:23.446+0000] {local_task_job.py:159} INFO - Task exited with return code 0
[2025-05-19T15:17:23.457+0000] {taskinstance.py:2582} INFO - 0 downstream tasks scheduled from follow-on schedule check
